🇨🇳河南地方,#genre#
河南卫视,http://tvcdn.stream3.hndt.com/tv/65c4a6d5017e1000b2b6ea2500000000_transios/playlist.m3u8?wsSecret=90e4cfe5b44781c6ced381bfca1e15c8&wsTime=1737231900
新闻频道,http://tvcdn.stream3.hndt.com/tv/65bb6966017e100059b75a8500000000_transios/playlist.m3u8?wsSecret=4042f1d73ddec3e0ca75d2d169ddea28&wsTime=1737231900
都市频道,http://tvcdn.stream3.hndt.com/tv/65c3fbc5017e1000fde13faa00000000_transios/playlist.m3u8?wsSecret=8fb0e8cb471469916aeefdb7be9175d1&wsTime=1737231900
民生频道,http://tvcdn.stream3.hndt.com/tv/65bef28a017e10009c49d5f900000000_transios/playlist.m3u8?wsSecret=2d67831554965860ec55803b8797e80c&wsTime=1737231900
法治频道,http://tvcdn.stream3.hndt.com/tv/65be54a9017e1000af59fb4800000000_transios/playlist.m3u8?wsSecret=b7575dcac2151ea2dcc82677337e5032&wsTime=1737231900
公共频道,http://tvcdn.stream3.hndt.com/tv/65b93894017e10000ae6b07d00000000_transios/playlist.m3u8?wsSecret=4fa3d5c13ce8f36a1841a56669a07889&wsTime=1737231900
河南乡村频道,http://tvcdn.stream3.hndt.com/tv/65b8302b017e100019dc540f00000000_transios/playlist.m3u8?wsSecret=431ec81ef9f8a8f53700a5016c7c6f66&wsTime=1737231900
电视剧频道,http://tvcdn.stream3.hndt.com/tv/65bd329b017e1000648cd2ed00000000_transios/playlist.m3u8?wsSecret=ff41f8bf49e3e9b3816060ec04502914&wsTime=1737231900
梨园频道,http://tvcdn.stream3.hndt.com/tv/65b67b15017e1000258a2b2400000000_transios/playlist.m3u8?wsSecret=c719198cb739a52aca4b37d075b2596c&wsTime=1737231900
文物宝库,http://tvcdn.stream3.hndt.com/tv/65b5a69d017e1000aa645bea00000000_transios/playlist.m3u8?wsSecret=7c5043b503ed2631349bc33cbb84d596&wsTime=1737231900
武术频道,http://tvcdn.stream3.hndt.com/tv/65b4b750017e1000dbb9306200000000_transios/playlist.m3u8?wsSecret=064b46359f3d85bddc11b584afc032ee&wsTime=1737231900
睛彩中原,http://tvcdn.stream3.hndt.com/tv/65b27d4c017e100039bd55c200000000_transios/playlist.m3u8?wsSecret=1091f4e5cb42c46a1906c30226fd89d0&wsTime=1737231900
移动戏曲频道,https://tvcdn.stream3.hndt.com/tv/160ea8971f8b41f0905f88c7afe3effe_transios/playlist.m3u8?wsSecret=4c6b8343dc4146fe60b9776c35bb4f5c&wsTime=1737231900
象视界,http://tvcdn.stream3.hndt.com/tv/d34d1a2b0178100022de972e00000000_transios/playlist.m3u8?wsSecret=d2360546ecc4cdb1cba24ebd3bcda721&wsTime=1737231900
国学频道,rtmp://rtmp.tv.stream3.hndt.com/tv/647f9277018410008cf925e200000000?wsSecret=9a23316ee66e918684e097f?wsSecret=815b5b162f180f8b277b709c0ed6cb82&wsTime=1737231900
欢腾购物,http://tvcdn.stream3.hndt.com/tv/65ba653b017e1000d4ee41c700000000_transios/playlist.m3u8?wsSecret=619977e21251aa5fadc1df1540dcf0fd&wsTime=1737231900
﻿
🇨🇳斗鱼直播,#genre#
斗鱼电影HD1,https://live.metshop.top/douyu/4246519$LR•IPV4『线路3』
斗鱼电影HD4,https://live.metshop.top/douyu/85894$LR•IPV4『线路3』
斗鱼电影HD5,https://live.metshop.top/douyu/263824$LR•IPV4『线路3』
斗鱼电影HD6,https://live.metshop.top/douyu/747764$LR•IPV4『线路3』
斗鱼电影HD7,https://live.metshop.top/douyu/20415$LR•IPV4『线路3』
